,busname,bustype,depature_time,travel_time,end_time,star_rating,price,seat_available,routename,routelink,seatavilable
7030,HRTC - 534,Ordinary 3+2 Non AC Seater,18:05,11h 25m,05:30,4.3,620.0,36.0,Delhi to Sarkaghat,https://www.redbus.in/bus-tickets/delhi-to-sarkaghat,36
7031,HRTC - 541,Ordinary 3+2 Non AC Seater,19:14,08h 56m,04:10,4.3,600.0,36.0,Delhi to Sarkaghat,https://www.redbus.in/bus-tickets/delhi-to-sarkaghat,36
7032,HRTC - 549,A/C Executive (2+3),19:25,11h 20m,06:45,2.7,736.0,44.0,Delhi to Sarkaghat,https://www.redbus.in/bus-tickets/delhi-to-sarkaghat,44
7033,HRTC - 557,Ordinary 3+2 Non AC Seater,20:15,10h 55m,07:10,3.1,600.0,37.0,Delhi to Sarkaghat,https://www.redbus.in/bus-tickets/delhi-to-sarkaghat,37
7035,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),23:00,07h 30m,06:30,4.7,899.0,12.0,Delhi to Bilaspur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,12
7036,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,07h 00m,05:00,4.7,899.0,17.0,Delhi to Bilaspur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,17
7037,City Land Travels,Scania Multi-Axle AC Semi Sleeper (2+2),23:55,08h 20m,08:15,4.3,673.0,31.0,Delhi to Bilaspur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,31
7038,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,07h 30m,04:30,4.6,799.0,19.0,Delhi to Bilaspur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,19
7039,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),22:40,07h 20m,06:00,4.0,699.0,45.0,Delhi to Bilaspur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh,45
7041,HRTC - 6709,Ordinary 3+2 Non AC Seater,19:30,07h 10m,02:40,3.9,325.0,31.0,Baddi (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/baddi-himachal-pradesh-to-delhi,31
7042,HRTC - 6639,A/C Executive (2+3),20:45,06h 45m,03:30,3.7,430.0,45.0,Baddi (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/baddi-himachal-pradesh-to-delhi,45
7043,City Land Travels,Volvo A/C Semi Sleeper (2+2),12:00,03h 20m,15:20,3.6,450.0,13.0,Sunder Nagar (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/sundernagar-himachal-pradesh-to-chandigarh,13
7044,City Land Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),19:00,03h 20m,22:20,3.6,799.0,22.0,Sunder Nagar (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/sundernagar-himachal-pradesh-to-chandigarh,22
7045,Laxmi holidays,Volvo 9600 Multi Axle Semi-Sleeper (2+2),19:10,03h 50m,23:00,4.2,799.0,11.0,Sunder Nagar (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/sundernagar-himachal-pradesh-to-chandigarh,11
7046,Reo India Travels,Volvo 9600 Multi Axle Semi-Sleeper (2+2),19:50,02h 50m,22:40,4.3,697.0,28.0,Sunder Nagar (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/sundernagar-himachal-pradesh-to-chandigarh,28
7047,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),20:10,03h 40m,23:50,4.5,799.0,34.0,Sunder Nagar (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/sundernagar-himachal-pradesh-to-chandigarh,34
7048,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:50,10h 40m,07:30,4.5,1199.0,26.0,Palampur to Delhi,https://www.redbus.in/bus-tickets/palampur-to-delhi,26
7049,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:15,11h 15m,07:30,4.9,1199.0,32.0,Palampur to Delhi,https://www.redbus.in/bus-tickets/palampur-to-delhi,32
7050,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),18:40,10h 35m,05:15,4.3,874.0,14.0,Palampur to Delhi,https://www.redbus.in/bus-tickets/palampur-to-delhi,14
7053,HRTC - 763,Ordinary 3+2 Non AC Seater,18:00,10h 00m,04:00,4.1,560.0,36.0,Jahu to Delhi,https://www.redbus.in/bus-tickets/jahoo-to-delhi,36
7054,HRTC - 700,Himsuta AC Seater Volvo/Scania 2+2,19:00,09h 30m,04:30,4.7,1083.0,31.0,Jahu to Delhi,https://www.redbus.in/bus-tickets/jahoo-to-delhi,31
7055,HRTC - 750,A/C Executive (2+3),19:30,10h 30m,06:00,4.1,696.0,44.0,Jahu to Delhi,https://www.redbus.in/bus-tickets/jahoo-to-delhi,44
7056,HRTC - 1107,Ordinary 3+2 Non AC Seater,19:45,08h 30m,04:15,4.1,560.0,36.0,Jahu to Delhi,https://www.redbus.in/bus-tickets/jahoo-to-delhi,36
7058,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),18:00,10h 30m,04:30,4.8,1699.0,17.0,Dharamshala (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,17
7059,Zingbus Plus,Volvo Multi-Axle A/C Semisleeper (2+2),21:40,09h 35m,07:15,4.7,984.0,36.0,Dharamshala (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,36
7060,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,09h 30m,06:30,4.7,1699.0,16.0,Dharamshala (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,16
7061,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),19:30,10h 05m,05:35,4.7,1094.0,21.0,Dharamshala (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,21
7062,Ram Dalal Holidays,Volvo 9600 Multi Axle Semi-Sleeper (2+2),20:38,09h 52m,06:30,4.9,1530.0,45.0,Dharamshala (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,45
7063,HRTC - 1402,Ordinary 3+2 Non AC Seater,13:00,08h 00m,21:00,4.2,409.0,37.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,37
7064,HRTC - 1405,Ordinary 3+2 Non AC Seater,14:40,09h 05m,23:45,3.9,488.0,27.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,27
7065,HRTC - 1403,Ordinary 3+2 Non AC Seater,15:40,08h 00m,23:40,3.9,403.0,37.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,37
7066,HRTC - 1414,Ordinary 3+2 Non AC Seater,16:26,07h 33m,23:59,3.9,409.0,37.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,37
7067,HRTC - 1455,A/C Executive (2+3),17:10,06h 45m,23:55,4.3,473.0,39.0,Jassur to Chandigarh,https://www.redbus.in/bus-tickets/jassur-to-chandigarh,39
7068,HRTC - 763,Ordinary 3+2 Non AC Seater,17:10,10h 50m,04:00,4.1,600.0,36.0,Sarkaghat to Delhi,https://www.redbus.in/bus-tickets/sarkaghat-to-delhi,36
7069,HRTC - 1805,Ordinary 3+2 Non AC Seater,18:00,11h 30m,05:30,4.1,615.0,37.0,Sarkaghat to Delhi,https://www.redbus.in/bus-tickets/sarkaghat-to-delhi,37
7070,HRTC - 700,Himsuta AC Seater Volvo/Scania 2+2,18:30,10h 00m,04:30,4.4,1148.0,17.0,Sarkaghat to Delhi,https://www.redbus.in/bus-tickets/sarkaghat-to-delhi,17
7071,HRTC - 750,A/C Executive (2+3),18:40,11h 20m,06:00,3.9,736.0,43.0,Sarkaghat to Delhi,https://www.redbus.in/bus-tickets/sarkaghat-to-delhi,43
7073,JKRTC - 172597,Volvo AC Seater (2+2),13:00,24h 00m,13:00,4.0,2055.0,28.0,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,28
7074,Zingbus Plus,A/C Sleeper (2+1),21:35,19h 50m,17:25,4.6,2294.0,8.0,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,8
7075,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,4.6,2078.0,12.0,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,12
7076,Big Bus,A/C Seater / Sleeper (2+2),21:15,18h 15m,15:30,2.8,2405.0,40.0,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,40
7077,Bhawani Travels,A/C Seater / Sleeper (2+2),19:50,01h 40m,21:30,3.8,400.0,37.0,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,37
7078,Bhawani Travels,A/C Seater / Sleeper (2+2),20:00,01h 45m,21:45,3.8,400.0,36.0,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,36
7079,Perfect Holiday,A/C Seater / Sleeper (2+2),11:20,01h 00m,12:20,2.5,494.0,29.0,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,29
7080,FlixBus,Bharat Benz A/C Sleeper (2+1),12:15,01h 35m,13:50,2.6,561.61,29.0,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,29
